AdministrativeAreaCode,AtcoAreaCode,AreaName,AreaNameLang,ShortName,ShortNameLang,Country,RegionCode,MaximumLengthForShortNames ,National,ContactEmail,ContactTelephone,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
66,35,Wokingham,,Wokingham,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
67,514,Wrexham,,Wrexham,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
68,329,York,,York,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-05-05T11:38:33,1,rev
69,20,Bedford,,Bedford,,Eng,SE,,0,,,2006-01-25T07:54:33,2009-02-16T16:41:08,1,rev
70,40,Buckinghamshire,,Bucks,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
71,50,Cambridgeshire,,Cambs,,Eng,EA,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
72,60,Cheshire East,,E Cheshire,,Eng,NW,,0,,,2006-01-25T07:54:33,2009-02-03T20:34:52,1,rev
73,80,Cornwall,,Cornwall,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
74,90,Cumbria,,Cumbria,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
75,100,Derbyshire,,Derbys,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
76,110,Devon,,Devon,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
77,120,Dorset,,Dorset,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
78,130,Durham,,Durham,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
79,140,East Sussex,,E Sussex,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
80,150,Essex,,Essex,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
81,160,Gloucestershire,,Gloucs,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
82,490,Greater London,,London,,Eng,L,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
83,180,Greater Manchester,,Manchester,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
84,190,Hampshire,,Hants,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
85,210,Hertfordshire,,Herts,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
86,240,Kent,,Kent,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
87,250,Lancashire,,Lancs,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
88,260,Leicestershire,,Leics,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
89,270,Lincolnshire,,Lincs,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
90,280,Merseyside,,Merseyside,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
91,290,Norfolk,,Norfolk,,Eng,EA,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
92,320,North Yorkshire,,N Yorks,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
93,300,Northamptonshire,,Northants,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
94,310,Northumberland,,Northumberland,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
95,330,Nottinghamshire,,Notts,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
96,340,Oxfordshire,,Oxon,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
97,350,Shropshire,,Shrops,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-11-10T10:14:24,1,rev
98,360,Somerset,,Somerset,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
99,370,South Yorkshire,,S Yorks,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
100,380,Staffordshire,,Staffs,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
101,390,Suffolk,,Suffolk,,Eng,EA,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
102,400,Surrey,,Surrey,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
103,410,Tyne & Wear,,Tyne & Wear,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
104,420,Warwickshire,,Warwicks,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
105,430,West Midlands,,W Mids,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
106,440,West Sussex,,W Sussex,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
107,450,West Yorkshire,,W Yorks,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
108,460,Wiltshire,,Wilts,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
109,200,Worcestershire,,Worcs,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
110,910,National - National Rail,,National - Rail,,Gre,GB,,0,,,2006-01-25T07:54:33,2008-12-08T19:05:00,1,rev
111,639,Aberdeen,,Aberdeen,,Sco,S,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
112,630,Aberdeenshire,,Aberdeenshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
113,649,Angus,,Angus,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
114,607,Argyll & Bute,,Argyll & Bute,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
115,690,Scottish Borders,,Borders,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
116,668,Clackmannanshire,,Clackmannanshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
117,608,West Dunbartonshire,,W Dunbarton,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
118,680,Dumfries & Galloway,,Dumfries & G,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
119,640,Dundee,,Dundee,,Sco,S,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
120,618,East Ayrshire,,E Ayrshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
121,611,East Dunbartonshire,,E Dunbarton,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
122,627,East Lothian,,E Lothian,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
123,612,East Renfrewshire,,E Renfrew,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
124,620,Edinburgh,,Edinburgh,,Sco,S,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
125,669,Falkirk,,Falkirk,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
126,650,Fife,,Fife,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
127,609,Glasgow,,Glasgow,,Sco,S,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
128,670,Highland,,Highland,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
129,613,Inverclyde,,Inverclyde,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
130,628,Midlothian,,Midlothian,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
131,638,Moray,,Moray,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
132,617,North Ayrshire,,N Ayrshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
133,616,North Lanarkshire,,N Lanarks,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
134,602,Orkney Islands,,Orkney,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
135,648,Perth & Kinross,,Perth & Kinross,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
136,614,Renfrewshire,,Renfrewshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
137,603,Shetland Islands,,Shetlands,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
138,619,South Ayrshire,,S Ayrshire,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
139,615,South Lanarkshire,,S Lanarks,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
140,660,Stirling,,Stirling,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
141,629,West Lothian,,W Lothian,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
142,601,Western Isles,,Western Isles,,Sco,S,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
143,900,National - National Coach,,National - Coach,,Gre,GB,,0,,,2006-01-25T07:54:33,2008-12-08T19:05:00,1,rev
145,920,National - National Air,,National - Air,,Gre,GB,,0,,,2008-02-08T14:24:40,2008-02-08T14:24:40,0,
146,930,National - National Ferry,,National - Ferry,,Gre,GB,,0,,,2008-02-08T14:37:30,2008-02-08T14:37:30,0,
147,940,National - National Tram,,National - Tram,,Gre,GB,,0,,,2008-02-08T14:41:15,2008-02-08T14:41:15,0,
151,21,Central Bedfordshire,en,Cent Beds,en,Eng,SE,,0,,,2009-02-16T16:41:08,2009-02-16T16:41:08,0,new
152,61,Cheshire West & Chester,,W Cheshire,,Eng,NW,,0,,,2009-02-03T20:34:52,2009-02-23T16:52:57,1,rev
