"NptgLocalityCode","OldNptgLocalityCode","LocalityName","LocalityNameLang","ShortName","ShortNameLang","QualifierName","QualifierNameLang","QualifierLocalityRef","QualifierDistrictRef","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"E0036019","N0071156","Pump-hewl","EN","","EN","","EN","","","2002-09-19T07:38:33","2002-09-19T07:38:33",0,""
"E0054030","N0071159","Rhydaman","EN","","EN","","EN","","","2002-09-19T07:38:38","2002-09-19T07:38:38",0,""
"E0036186","N0071160","Rhydown","EN","","EN","","EN","","","2002-09-19T07:38:42","2002-09-19T07:38:42",0,""
"E0036072","N0071161","Talacharn","EN","","EN","","EN","","","2002-09-19T07:38:44","2002-09-19T07:38:44",0,""
"E0036068","N0071162","Tre Loan","EN","","EN","","EN","","","2002-09-19T07:38:45","2002-09-19T07:38:45",0,""
"E0036219","N0071163","Trefechan","EN","","EN","Carmarthen","EN","","","2002-09-19T07:38:47","2002-09-19T07:38:47",0,""
"E0036064","N0071164","Trehopcyn","EN","","EN","","EN","","","2002-09-19T07:38:48","2002-09-19T07:38:48",0,""
"E0036047","N0071167","Y Graig","CY","","EN","Carmarthen","CY","","","2002-09-19T07:38:53","2002-09-19T07:38:53",0,""
"E0036060","N0071168","Yr Hendy","CY","","EN","","EN","","","2002-09-19T07:38:55","2002-09-19T07:38:55",0,""
"E0036137","N0080516","Penygroes","EN","","EN","Carmarthen","EN","","","2013-12-04T10:25:08","2013-12-04T10:25:08",0,"new"
"E0036335","E0054141","Pontarfynach","EN","","EN","","EN","","","2002-09-19T07:39:27","2002-09-19T07:39:27",0,""
"E0054107","N0071172","Aberteifi","CY","","EN","Cardigan","CY","","","2002-09-19T07:39:20","2002-09-19T07:39:20",0,""
"E0054139","N0071173","Ceinewydd","EN","","EN","","EN","","","2002-09-19T07:39:22","2002-09-19T07:39:22",0,""
"E0036379","N0071174","Goitre","EN","","EN","","EN","","","2002-09-19T07:39:23","2002-09-19T07:39:23",0,""
"E0054114","N0071175","Llanbedr Pont Steffan","EN","","EN","","EN","","","2002-09-19T07:39:25","2002-09-19T07:39:25",0,""
"E0036308","N0071176","Rhydgaled","EN","","EN","Ceredigion","EN","","","2002-09-19T07:39:29","2002-09-19T07:39:29",0,""
"E0036423","N0071177","Y Gors","EN","","EN","","EN","","","2002-09-19T07:39:30","2002-09-19T07:39:30",0,""
"E0036516","N0078505","Tynygraig","EN","","EN","Ceredigion","EN","","","2009-02-10T16:18:57","2009-02-10T16:18:57",0,"new"
"N0071187","N0071188","Angorfa Abergele","CY","","EN","Abergele Roads","CY","","","2002-09-19T07:40:02","2002-09-19T07:40:02",0,""
"E0054160","N0071189","Bae Colwyn","CY","","EN","Colwyn Bay","CY","","","2002-09-19T07:40:04","2002-09-19T07:40:04",0,""
"E0054181","N0071190","Hen Golwyn","EN","","EN","","EN","","","2002-09-19T07:40:06","2002-09-19T07:40:06",0,""
"E0054198","N0071197","Dinbych","CY","","EN","Denbigh","CY","","","2002-09-19T07:40:32","2002-09-19T07:40:32",0,""
"E0054200","N0071198","Dyserth","EN","","EN","","EN","","","2002-09-19T07:40:33","2002-09-19T07:40:33",0,""
"E0036753","N0071199","Gallt Melyd","EN","","EN","","EN","","","2002-09-19T07:40:35","2002-09-19T07:40:35",0,""
"E0054222","N0071200","Llanelwy","EN","","EN","Denbigh","EN","","","2002-09-19T07:40:37","2002-09-19T07:40:37",0,""
"E0054221","N0071201","Rhuthun","EN","","EN","","EN","","","2002-09-19T07:40:39","2002-09-19T07:40:39",0,""
"E0036719","N0071202","Y Ddwyryd","EN","","EN","","EN","","","2002-09-19T07:40:40","2002-09-19T07:40:40",0,""
"E0054196","N0071203","Y Gyffylliog","EN","","EN","","EN","","","2002-09-19T07:40:42","2002-09-19T07:40:42",0,""
"N0080527","N0080532","North Landing","EN","","EN","Flamborough","EN","","","2014-01-15T12:09:55","2014-01-15T12:09:55",0,"new"
"E0054237","E0037364","Penarlag","EN","","EN","","EN","","","2002-09-19T07:41:22","2002-09-19T07:41:22",0,""
"E0054227","N0071208","Brychdyn","EN","","EN","","EN","","","2009-02-04T14:07:38","2009-02-04T14:07:38",0,"new"
"E0054229","N0071210","Bwcle","CY","","EN","Buckley","CY","","","2002-09-19T07:41:07","2002-09-19T07:41:07",0,""
"E0054232","N0071211","Cei Connah","CY","","EN","Connors Quay","CY","","","2002-09-19T07:41:09","2002-09-19T07:41:09",0,""
"E0054241","N0071212","Coed-llai","EN","","EN","","EN","","","2002-09-19T07:41:11","2002-09-19T07:41:11",0,""
"E0054236","N0071213","Helygain","EN","","EN","","EN","","","2002-09-19T07:41:13","2002-09-19T07:41:13",0,""
"E0054249","N0071215","Llaneurgain","EN","","EN","","EN","","","2002-09-19T07:41:16","2002-09-19T07:41:16",0,""
"E0037306","N0071216","Maes-glas","EN","","EN","Flintshire","EN","","","2002-09-19T07:41:18","2002-09-19T07:41:18",0,""
"E0037295","N0071217","Mynydd y Fflint","EN","","EN","","EN","","","2002-09-19T07:41:19","2002-09-19T07:41:19",0,""
"E0037396","N0071218","Sychdyn","EN","","EN","","EN","","","2002-09-19T07:41:23","2002-09-19T07:41:23",0,""
"E0054239","N0071219","Treffynnon","EN","","EN","Flintshire","EN","","","2002-09-19T07:41:24","2002-09-19T07:41:24",0,""
"E0054233","N0071220","Y Fflint","CY","","EN","","EN","","","2002-09-19T07:41:26","2002-09-19T07:41:26",0,""
"E0054234","N0071221","Y Waun","CY","","EN","Flintshire","CY","","","2002-09-19T07:41:28","2002-09-19T07:41:28",0,""
"E0054244","N0071222","Yr Wyddgrug","CY","","EN","","EN","","","2002-09-19T07:41:30","2002-09-19T07:41:30",0,""
"E0054262","N0071251","Aberdyfi","CY","","EN","Aberdovey","CY","","","2002-09-19T07:42:45","2002-09-19T07:42:45",0,""
"E0054266","N0071252","Abermaw","CY","","EN","Barmouth","CY","","","2002-09-19T07:42:47","2002-09-19T07:42:47",0,""
"N0071253","N0071254","Bwlch Gorddinan","EN","","EN","","EN","","","2002-09-19T07:42:48","2002-09-19T07:42:48",0,""
"E0054969","N0071255","Felinheli","EN","","EN","","EN","","","2005-12-05T14:35:53","2005-12-05T14:35:53",0,""
"E0037740","N0071257","Tafarn-y-fedw","EN","","EN","","EN","","","2002-09-19T07:42:55","2002-09-19T07:42:55",0,""
"E0038666","E0038671","Dulas","EN","","EN","Anglesey","EN","","","2002-09-19T07:43:33","2002-09-19T07:43:33",0,""
"E0054324","N0071265","Aberffro","CY","","EN","","EN","","","2002-09-19T07:43:27","2002-09-19T07:43:27",0,""
"E0054326","N0071266","Biwmares","CY","","EN","Beaumaris","CY","","","2002-09-19T07:43:29","2002-09-19T07:43:29",0,""
"E0054333","N0071267","Caergybi","EN","","EN","","EN","","","2002-09-19T07:43:31","2002-09-19T07:43:31",0,""
"N0071268","N0071269","Maes Awyr","EN","","EN","","EN","","","2002-09-19T07:43:34","2002-09-19T07:43:34",0,""
"E0038739","N0071270","Niwbwrch","CY","","EN","Newborough","CY","","","2002-09-19T07:43:36","2002-09-19T07:43:36",0,""
"E0038676","N0071271","Pontrhydybont","EN","","EN","","EN","","","2002-09-19T07:43:37","2002-09-19T07:43:37",0,""
"E0038648","N0071272","Porth Llechog","EN","","EN","","EN","","","2002-09-19T07:43:39","2002-09-19T07:43:39",0,""
"E0054353","N0071273","Porthaethwy","EN","","EN","","EN","","","2002-09-19T07:43:41","2002-09-19T07:43:41",0,""
"E0054363","N0071274","Y Fali","EN","","EN","","EN","","","2002-09-19T07:43:43","2002-09-19T07:43:43",0,""
"N0072110","E0039164","Wallend","EN","","EN","Medway","EN","","","2003-02-21T16:06:47","2003-02-21T16:06:47",0,""
"N0075762","N0080544","Stormtown","EN","","EN","","EN","","","2014-04-10T17:36:10","2014-04-10T17:36:10",0,"new"
"E0039258","E0039266","Teesside","EN","","EN","","EN","","","2002-09-04T16:24:40","2002-09-04T16:24:40",0,""
"N0070298","N0070299","South Cleveland Hospital","EN","","EN","","EN","","","2005-12-06T17:25:12","2005-12-06T17:25:12",0,""
"N0070296","N0070300","Middlesbrough FC Riverside Stadium","EN","","EN","","EN","","","2002-09-04T16:24:28","2002-09-04T16:24:28",0,""
"N0070314","N0070313","University of Teesside","EN","","EN","","EN","","","2002-09-09T16:03:10","2002-09-09T16:03:10",0,""
"E0039488","N0071285","Llanfihangel Ystum Llwern","EN","","EN","","EN","","","2014-04-10T17:35:35","2014-04-10T17:35:35",0,"new"
"E0054379","N0071294","Cas-gwent","EN","","EN","","EN","","","2002-09-19T07:44:35","2002-09-19T07:44:35",0,""
"E0054383","N0071296","Grysmwnt","EN","","EN","","EN","","","2002-09-19T07:44:38","2002-09-19T07:44:38",0,""
"E0054400","N0071297","Trefynwy","EN","","EN","","EN","","","2002-09-19T07:44:40","2002-09-19T07:44:40",0,""
"E0054376","N0071298","Y Fenni","EN","","EN","","EN","","","2002-09-19T07:44:42","2002-09-19T07:44:42",0,""
"E0054428","N0071304","Castell -nedd","CY","","EN","Neath","CY","","","2002-09-19T07:45:19","2002-09-19T07:45:19",0,""
"E0039633","N0071306","Llangatwg","EN","","EN","nr Neath","EN","","","2002-09-19T07:45:22","2002-09-19T07:45:22",0,""
"E0039726","N0071307","Sciwen","CY","","EN","","EN","","","2002-09-19T07:45:24","2002-09-19T07:45:24",0,""
"E0039730","N0071308","Trebannws","CY","","EN","","EN","","","2002-09-19T07:45:25","2002-09-19T07:45:25",0,""
"E0054440","N0080540","Allt-yr-ynn","CY","","EN","","EN","","","2014-03-07T15:01:20","2014-03-07T15:01:20",0,"new"
"E0039748","N0080541","Llangadwaldr","CY","","EN","","EN","","","2014-03-07T15:03:01","2014-03-07T15:03:01",0,"new"
"E0055085","N0071345","Aberdaugleddau","EN","","EN","","EN","","","2002-09-19T07:47:22","2002-09-19T07:47:22",0,""
"E0054474","N0071348","Breudeth","EN","","EN","","EN","","","2002-09-19T07:47:28","2002-09-19T07:47:28",0,""
"E0054478","N0071349","Caeryw","EN","","EN","","EN","","","2002-09-19T07:47:29","2002-09-19T07:47:29",0,""
"N0071350","N0071351","Cas-fuwch","CY","","EN","","EN","","","2002-09-19T07:47:31","2002-09-19T07:47:31",0,""
"E0040201","N0071352","Castell Morris","CY","","EN","","EN","","","2002-09-19T07:47:32","2002-09-19T07:47:32",0,""
"E0040296","N0071353","Cilgeti","CY","","EN","","EN","","","2002-09-19T07:47:34","2002-09-19T07:47:34",0,""
"E0040220","N0071354","Creseli","CY","","EN","","EN","","","2002-09-19T07:47:36","2002-09-19T07:47:36",0,""
"E0055092","N0071355","Dinbych-y-pysgod","CY","","EN","","EN","","","2002-09-19T07:47:38","2002-09-19T07:47:38",0,""
"E0055084","N0071356","Hwlffordd","CY","","EN","","EN","","","2002-09-19T07:47:40","2002-09-19T07:47:40",0,""
"E0054498","N0071357","Llanbedr Felfre","CY","","EN","","EN","","","2002-09-19T07:47:41","2002-09-19T07:47:41",0,""
"E0054499","N0071358","Llandyfai","CY","","EN","","EN","","","2002-09-19T07:47:43","2002-09-19T07:47:43",0,""
"E0054524","N0071359","Penalun","CY","","EN","","EN","","","2002-09-19T07:47:45","2002-09-19T07:47:45",0,""
"E0054469","N0071361","Treamlod","CY","","EN","","EN","","","2002-09-19T07:47:49","2002-09-19T07:47:49",0,""
"E0054519","N0071362","Trefdraeth","CY","","EN","Pembrokeshire","EN","","","2002-09-19T07:47:51","2002-09-19T07:47:51",0,""
"E0041442","E0041001","Felindre","CY","","EN","Powys","EN","","","2002-09-19T07:50:22","2002-09-19T07:50:22",0,""
"E0040984","E0041170","Llansantffraed-in-Elwel","CY","","EN","","EN","","","2002-09-19T07:51:15","2002-09-19T07:51:15",0,""
"E0040862","E0054577","Glantwymyn","CY","","EN","","EN","","","2002-09-19T07:50:27","2002-09-19T07:50:27",0,""
"E0041168","E0054622","Llansantffraid","CY","","EN","","EN","","","2002-09-19T07:51:17","2002-09-19T07:51:17",0,""
"E0054549","N0071386","Abatycwmhir","CY","","EN","","EN","","","2002-09-19T07:49:01","2002-09-19T07:49:01",0,""
"E0054557","N0071388","Aberhonddu","CY","","EN","","EN","","","2002-09-19T07:49:05","2002-09-19T07:49:05",0,""
"E0041400","N0071389","Aberllynfi","CY","","EN","","EN","","","2002-09-19T07:49:07","2002-09-19T07:49:07",0,""
"E0040756","N0071390","Abermiwl","CY","","EN","","EN","","","2002-09-19T07:49:08","2002-09-19T07:49:08",0,""
"E0054555","N0071391","Aberriw","CY","","EN","","EN","","","2002-09-19T07:49:10","2002-09-19T07:49:10",0,""
"E0054554","N0071393","Begeildy","CY","","EN","","EN","","","2002-09-19T07:49:14","2002-09-19T07:49:14",0,""
"E0040778","N0071394","Biwlah","CY","","EN","","EN","","","2002-09-19T07:49:15","2002-09-19T07:49:15",0,""
"E0040786","N0071395","Bochrwyd","CY","","EN","","EN","","","2002-09-19T07:49:17","2002-09-19T07:49:17",0,""
"E0040816","N0071398","Bwlch-y-ffridd","CY","","EN","","EN","","","2002-09-19T07:49:22","2002-09-19T07:49:22",0,""
"E0041204","N0071399","Capel Isaf","CY","","EN","","EN","","","2002-09-19T07:49:24","2002-09-19T07:49:24",0,""
"E0041435","N0071401","Capel Uchaf","CY","","EN","Powys","EN","","","2002-09-19T07:49:27","2002-09-19T07:49:27",0,""
"E0040839","N0071402","Casgob","CY","","EN","","EN","","","2002-09-19T07:49:29","2002-09-19T07:49:29",0,""
"E0054564","N0071403","Castell Caereinion","CY","","EN","","EN","","","2002-09-19T07:49:31","2002-09-19T07:49:31",0,""
"E0041266","N0071404","Castell Paen","CY","","EN","","EN","","","2002-09-19T07:49:33","2002-09-19T07:49:33",0,""
"E0054581","N0071405","Cegidfa","CY","","EN","","EN","","","2002-09-19T07:49:34","2002-09-19T07:49:34",0,""
"E0041339","N0071406","Cei'r Trallwng","CY","","EN","","EN","","","2002-09-19T07:49:36","2002-09-19T07:49:36",0,""
"E0054585","N0071407","Ceri","CY","","EN","","EN","","","2002-09-19T07:49:38","2002-09-19T07:49:38",0,""
"E0054567","N0071408","Cleirwy","CY","","EN","","EN","","","2002-09-19T07:49:40","2002-09-19T07:49:40",0,""
"E0040873","N0071409","Cletwr","CY","","EN","","EN","","","2002-09-19T07:49:42","2002-09-19T07:49:42",0,""
"E0041125","N0071410","Cnwclas","CY","","EN","","EN","","","2002-09-19T07:49:43","2002-09-19T07:49:43",0,""
"E0041123","N0071411","Coed-y-Brennin","CY","","EN","","EN","","","2002-09-19T07:49:45","2002-09-19T07:49:45",0,""
"E0054568","N0071413","Crai","CY","","EN","","EN","","","2002-09-19T07:49:49","2002-09-19T07:49:49",0,""
"E0040897","N0071414","Crucadarn","CY","","EN","","EN","","","2002-09-19T07:49:50","2002-09-19T07:49:50",0,""
"E0054569","N0071415","Crughywel","CY","","EN","","EN","","","2002-09-19T07:49:52","2002-09-19T07:49:52",0,""
"E0040896","N0071416","Cryw Green","CY","","EN","","EN","","","2002-09-19T07:49:54","2002-09-19T07:49:54",0,""
"E0040939","N0071420","Cyfronnydd","CY","","EN","","EN","","","2002-09-19T07:50:01","2002-09-19T07:50:01",0,""
"E0040972","N0071425","Dutlas","CY","","EN","","EN","","","2002-09-19T07:50:09","2002-09-19T07:50:09",0,""
"E0040988","N0071426","Einsiob","CY","","EN","","EN","","","2002-09-19T07:50:11","2002-09-19T07:50:11",0,""
"E0054573","N0071427","Erwyd","CY","","EN","","EN","","","2002-09-19T07:50:12","2002-09-19T07:50:12",0,""
"E0041441","N0071429","Faenor","CY","","EN","Powys","EN","","","2002-09-19T07:50:16","2002-09-19T07:50:16",0,""
"E0040796","N0071430","Faenor Ucha","CY","","EN","","EN","","","2002-09-19T07:50:18","2002-09-19T07:50:18",0,""
"E0041253","N0071431","Felin Newydd","CY","","EN","nr Newtown","EN","","","2002-09-19T07:50:19","2002-09-19T07:50:19",0,""
"E0054575","N0071433","Ffordun","CY","","EN","","EN","","","2002-09-19T07:50:25","2002-09-19T07:50:25",0,""
"E0041116","N0071434","Hawy","CY","","EN","","EN","","","2002-09-19T07:50:29","2002-09-19T07:50:29",0,""
"E0041132","N0071435","Llaethdy","CY","","EN","","EN","","","2002-09-19T07:50:30","2002-09-19T07:50:30",0,""
"E0054643","N0071436","Llanandras","CY","","EN","","EN","","","2002-09-19T07:50:32","2002-09-19T07:50:32",0,""
"E0054587","N0071437","Llananfan-Fawr","CY","","EN","","EN","","","2002-09-19T07:50:34","2002-09-19T07:50:34",0,""
"E0054656","N0071439","Llanddewi yn Hwytyn","CY","","EN","","EN","","","2002-09-19T07:50:38","2002-09-19T07:50:38",0,""
"E0041143","N0071441","Llandegle","CY","","EN","","EN","","","2002-09-19T07:50:41","2002-09-19T07:50:41",0,""
"E0041145","N0071442","Llandeio'r-Fan","CY","","EN","","EN","","","2002-09-19T07:50:43","2002-09-19T07:50:43",0,""
"E0054595","N0071443","Llandrindod","CY","","EN","","EN","","","2002-09-19T07:50:45","2002-09-19T07:50:45",0,""
"E0041148","N0071445","Llanelwy","CY","","EN","Powys","EN","","","2002-09-19T07:50:48","2002-09-19T07:50:48",0,""
"E0054576","N0071446","Llanfair Llythyfnwg","CY","","EN","","EN","","","2002-09-19T07:50:50","2002-09-19T07:50:50",0,""
"E0055106","N0071447","Llanfair-ym-Muallt","CY","","EN","","EN","","","2002-09-19T07:50:52","2002-09-19T07:50:52",0,""
"E0041223","N0071448","Llanfihangel-dyffryn Arwy","CY","","EN","","EN","","","2002-09-19T07:50:54","2002-09-19T07:50:54",0,""
"E0054606","N0071451","Llanfrynach","CY","","EN","","EN","","","2002-09-19T07:50:59","2002-09-19T07:50:59",0,""
"E0041160","N0071452","Llangammarch","CY","","EN","","EN","","","2002-09-19T07:51:01","2002-09-19T07:51:01",0,""
"E0054609","N0071454","Llangatwg","CY","","EN","Powys","EN","","","2002-09-19T07:51:04","2002-09-19T07:51:04",0,""
"E0041046","N0071456","Llangrwyney","CY","","EN","","EN","","","2002-09-19T07:51:08","2002-09-19T07:51:08",0,""
"E0054612","N0071457","Llangynllo","CY","","EN","","EN","","","2002-09-19T07:51:10","2002-09-19T07:51:10",0,""
"E0054627","N0071458","Llanllyr","CY","","EN","","EN","","","2002-09-19T07:51:11","2002-09-19T07:51:11",0,""
"E0041258","N0071459","Llannewydd","CY","","EN","","EN","","","2002-09-19T07:51:13","2002-09-19T07:51:13",0,""
"E0041169","N0071460","Llansantffraid-Cwmdeuddwr","CY","","EN","","EN","","","2002-09-19T07:51:19","2002-09-19T07:51:19",0,""
